"samples","type","235630_at","208858_s_at","203313_s_at","1566695_at","201585_s_at","243682_at","1561301_at","1555514_a_at","223169_s_at","37966_at","228374_at","227638_at","236413_at","1570009_at","1553936_a_at","1558785_a_at","220431_at","1562080_at","209920_at","238070_at","237115_at","1557022_at","220489_s_at","218301_at","211570_s_at","203806_s_at","243905_at","226591_at","1558000_at","200658_s_at"
84,"basal",5.99403654838986,7.71601312979616,7.22986430898026,2.74911974758605,8.95606497645207,6.34658187041155,4.51998422374361,7.62740875290482,4.52288384165345,7.87827920190596,6.46225063825773,7.24415400151068,5.96501437381607,2.91954979695968,3.50072332627238,4.10192708688467,3.2586039237982,2.94289952519843,7.52163973393555,7.00902564861767,3.58985973457691,3.89428828905263,4.70794145620977,7.08251526212895,3.67921654026841,7.17277730746165,3.42656056023857,3.59240977529059,3.42920886824061,9.41045832924336
85,"basal",6.19300644632823,7.82362383871708,9.34374071762879,2.85329295303922,9.45770279769593,5.65621454733343,3.91488608514361,8.12448729972754,3.9711493521892,5.01218927000288,6.84807677861252,7.25509532175214,6.16735797557279,2.76290116595517,3.13626968075825,4.95831303069228,3.19333296861252,3.02050475220671,7.46442786841639,8.18820864939228,3.58732089548347,3.8831699323281,4.35351240834078,5.94022900385061,3.34888915549034,7.03184086178119,3.70240865506313,4.80072988232695,3.72751443656751,10.0970435998226
87,"basal",6.15465701872691,8.25509997470143,8.64894072523937,3.33341699660816,9.50772923881052,5.6466194459072,4.12062328906695,8.7158505572387,5.40814016731841,6.68704931929226,6.1200246227479,7.24958309265974,6.06188272742344,2.81325747277663,3.64844651747526,3.857344117758,3.19741453145094,3.14897100680839,7.27463281843647,7.41967086096117,3.53709859807551,4.01953123889138,4.81306454316724,6.0216112777718,7.0734602505661,6.53600782854205,3.55350957718294,4.30900495015387,3.78805347310981,10.8771502595544
90,"basal",6.39363708124783,7.62831528883075,8.72946523964445,3.05903056269804,8.96657690123874,5.99630237282491,4.02252059273661,7.63949170001528,4.36258522620022,6.20602855686906,6.65404311291355,7.16850703766195,6.10566831332997,3.02065524189441,3.16953533862401,4.007725356561,3.25031834692234,2.94945344552739,7.28111910162335,7.19298831828822,3.47764451892016,3.73754609998028,4.92761247817459,6.37407122188595,3.61118017659822,6.56117542136288,3.3616075078016,4.0002237814236,3.80934074754231,9.39968303943625
91,"basal",6.04621446116308,7.96650713166628,8.54214206514465,3.21583433282481,9.02800663320287,6.36441088586025,3.98187165740862,7.99867612511292,4.77353325436436,8.25573892488284,6.24393728029938,7.3867204031101,6.12630038329969,2.81243354707075,3.43372699579833,4.12997464947698,3.32222016865577,3.14258993410352,7.1602863453744,7.67094398926993,3.45972191070745,3.83528793705754,4.53044864041843,6.50400241527901,3.6514142698683,6.38900559508035,3.60408045237559,5.90903767191581,3.8851602202881,10.5728222945006
92,"basal",6.33285131471041,8.46357590330361,8.94548622221068,3.03963594863934,9.83845312473156,5.25828592589522,3.81062659369794,8.15113830330893,6.66867701323922,6.80427965508539,7.11787165075701,6.25277702935354,5.99739397910676,2.90047021513153,3.55736481785213,4.80121986956515,3.32582222280166,2.99499940615231,6.940406368257,7.61796887917748,3.33262730119742,3.69044926866389,4.71924474442273,6.0509358928132,3.50503831277954,6.52252270155632,3.54688328314846,6.73000558890857,3.72121832801243,11.036229653429
93,"basal",5.82592483508222,8.22533743271526,8.66942891435027,3.07012775567808,8.89999972806556,5.46660770877634,4.29034088240622,8.03746988503983,5.80411765269953,6.87308726294849,7.22512788803487,7.40108142400802,6.32983448725934,2.90876109892198,3.63819050739128,4.09436361766518,3.314147560381,2.93324692287211,6.67023839860711,8.00015315248353,3.37926809748932,3.59695236934464,5.10080348367251,6.44773355597628,3.47005928982622,6.63401402329306,3.52340209694379,4.97871392765587,3.75748253019602,11.1683889553974
94,"basal",5.76435620546118,8.30504278747567,8.74217024451495,2.936547342741,8.96648639664602,6.16553087742189,4.09339237558216,8.26044631184288,4.61836881832765,5.99456706664833,6.53450137431704,6.95920220173968,6.14697550115627,2.78434435176692,3.3946523481694,3.87975071294316,3.22577049197815,2.92227697909147,6.94220327975616,7.76760509399294,3.5380728828078,3.80433685539828,4.97727594338901,6.42181246720528,3.75550449596235,6.98746455216234,3.31224488103721,3.24881879880964,3.62582843954764,9.34930264720881
99,"basal",5.7141944277662,7.52642467041867,9.19047527363436,2.86540064252506,9.43326675427979,5.81799985764166,3.94737006041631,7.75851856231578,4.59743614565424,6.69259262821751,6.62016320901695,7.09808245890261,6.03899498274224,2.8383696561083,3.23129941058014,5.06759184089775,3.09566574790395,3.11875360987809,7.5241510126589,8.59753330527569,3.90218575306779,4.21870050108989,4.51683972343624,6.24433469143079,3.60952331071994,7.68227041199413,3.24821243304202,4.73579158660266,3.58253815802227,9.64984495761504
101,"basal",6.30142390817577,8.10891144970069,10.1469887439019,2.8816344579856,9.30754081497397,5.72336010027061,4.35608985180865,7.59674505413839,6.26766397995973,6.45553340837361,6.39945117137613,7.67126707267975,5.84188955374286,2.76629071501088,3.51160487937902,4.51965175979918,3.40763605281282,2.99719983524477,6.66785503143957,8.63138660277901,3.7175421160468,3.83667157887075,4.85901440368917,6.37504443866288,3.56605871735569,7.73190611473021,3.45003875105152,3.82123621920058,3.7876092402474,9.76719753375901
